"","MMA001A","MMA001B","MMA002B","MMA003A","MMA003B","MMA004A","MMA004B","MMA005A","MMA005B","MMA006A","MMA006B","MMA007A","MMA007B","MMA008A","MMA008B","MMA009A","MMA009B","MMA010A","MMA010B","MMA011A","MMA011B","MMA012A","MMA012B","MMA013A","MMA013B","MMA014A","MMA014B","MMA015A","MMA015B","MMA016A","MMA016B","MMA017A","MMA017B","MMA018A","MMA018B","MMA018C","MMA018D","MMA019A","MMA019B","MMA020A","MMA020B","MMA021A","MMA021B","MMA022A","MMA022B","MMA023A","MMA023B","MMA024A","MMA024B","MMA025A","MMA025B","MMA026A","MMA026B","MMA027A","MMA027B","MMA028A","MMA028B","MMA029A","MMA029B","MMA030A","MMA030B","MMA031A","MMA031B","MMA032A","MMA032B","MMA033B","MMA034A","MMA034B","MMA035A","MMA035B","MMB001A","MMB001B","MMB002A","MMB002B","MMB003A","MMB003B","MMB004A","MMB004B","MMB005A","MMB005B","MMB006A","MMB006B","MMB007A","MMB007B","MMB008A","MMB008B","MMB008C","MMB009A","MMB009B","MMB010A","MMB010B","MMB011A","MMB011B","MMB012A","MMB012B","MMB013A","MMB013B","MMB014A","MMB014B","MMB015A","MMB015B","MMB016A","MMB016B","MMB016C","MMB018A","MMB018B","MMB019A","MMB020A","MMB020B","MMB021A","MMB021B","MMB022A","MMB022B","MMB023A","MMB023B","MMB024A","MMB024B","MMB025A","MMB025B","MMB026A","MMB026B","MMC001A","MMC001B","MMC002A","MMC002B","MMC003A","MMC003B","MMC005A","MMC006A","MMC006B","MMC007A","MMC007B","MMC008A","MMC008B","MMC010A","MMC010B","MMC011A","MMC011B","MMC012A","MMC012B","MMC013A","MMC013B","MMC014A","MMC014B","MMC015A","MMC015B","MMC016A","MMC016B","MMC017A","MMC017B","MMC018A","MMC018B","MMC019A","MMC019B","MMC020A","MMC020B","MMC021B","MMC022A","MMC022B","MMC023A","MMC023B","MMC024A","MMC024B","MMC025A","MMC025B","MMC026A","MMC026B","MMC026C","MMC027A","MMC027B","MMC029A","MMC029B","MMC030A","MMC030B","MMC031A","MMC031B","MMC032A","MMC032B","MMC033A","MMC033B"
"1967",14.94,14.216,5.33,NA,20.18,NA,NA,6.11,NA,13.062,9.97999999999999,14.878,15.172,11.986,11.276,13.172,10.738,12.59,10.42,-0.864,NA,7.94600000000001,8.362,8.168,7.356,19.93,15.952,16.122,16.05,19.398,17.632,15.932,15.8,75.782,81.725,80.996,80.228,NA,15.678,17.542,14.02,9.518,8.056,24.398,18.602,16.426,17.974,41.292,42.373,15.154,16.208,NA,NA,13.388,13.828,22.052,21.908,15.6,11.468,25.316,29.69,31.852,27.414,35.62,33.182,22.314,15.218,13.754,20.864,19.788,55.228,53.812,12.7,7.504,11.98,8.65200000000001,18.868,33.79,8.89400000000001,9.31199999999999,NA,21.7,18.952,14.15,47.856,50.042,48.436,41.38,37.396,20.568,22.014,26.17,36.816,NA,14.368,NA,NA,NA,NA,6.836,NA,49.482,45.194,45.19,14.842,14.8,23.67,NA,NA,NA,NA,17.35,21.696,12.69,11.612,30.974,27.73,18.36,21.64,16.734,17.544,14.892,15.34,9.932,12.45,NA,NA,NA,NA,NA,NA,2.474,NA,NA,35.662,29.086,24.156,25.294,NA,NA,NA,NA,12.292,9.09600000000002,NA,NA,65.2139999999999,78.052,NA,NA,3.05400000000001,NA,13.934,12.476,17.976,17.682,11.962,NA,NA,NA,NA,22.018,20.964,10.996,15.514,33.254,28.984,22.656,20.372,25.686,16.24,15.408,NA,32.468,15.112,16.396,33.906,34.626,36.828,36.022
"1966",14.562,13.846,5.28,NA,19.968,NA,NA,5.926,NA,12.964,9.79999999999999,14.712,14.996,11.516,11.1,12.82,10.306,12.228,10.008,-0.928,NA,7.57600000000001,8.032,7.882,7.002,19.758,15.656,15.904,15.684,18.75,17.144,15.632,15.388,75.456,81.458,80.759,79.946,NA,15.592,17.282,13.442,9.386,7.874,24.288,18.246,16.15,17.714,40.8406,41.8654,14.716,15.84,NA,NA,13.05,13.738,21.81,21.702,15.248,11.128,24.504,28.75,31.492,27.162,35.238,32.592,21.514,15.018,13.284,20.608,19.566,54.798,53.54,12.65,6.768,11.522,8.00600000000001,17.474,33.648,8.79600000000001,9.27999999999999,NA,21.146,18.332,13.514,47.162,49.506,47.628,41.022,37.128,20.442,21.984,25.71,36.662,NA,13.946,NA,NA,NA,NA,6.398,NA,47.912,44.574,44.032,14.516,14.532,22.71,NA,NA,NA,NA,16.596,21.266,12.558,11.362,30.732,27.404,17.826,21.03,16.444,17.386,14.002,14.478,9.912,12.41,NA,NA,NA,NA,NA,NA,2.328,NA,NA,35.466,28.38,24.006,25.198,NA,NA,NA,NA,12,8.79800000000002,NA,NA,64.3959999999999,77.592,NA,NA,NA,NA,13.582,12.098,17.292,17.088,11.306,NA,NA,NA,NA,21.732,20.766,10.924,15.256,33.074,28.532,22.32,20.086,25.56,15.906,15.08,NA,32.35,14.88,16.238,33.68,34.402,36.544,35.734
"1965",14.238,13.518,5.244,NA,19.65,NA,NA,5.744,NA,12.682,9.59999999999999,14.514,14.782,11.064,10.848,12.51,9.94,11.89,9.64599999999999,-0.96,NA,7.23600000000001,7.744,7.848,6.946,19.574,15.298,15.612,15.262,18.14,16.972,15.378,15.032,75.063,81.134,80.499,79.661,NA,15.41,17.06,13.006,9.316,7.782,24.164,17.864,15.806,17.36,40.4508,41.3346,14.312,15.496,NA,NA,12.838,13.564,21.536,21.524,14.954,10.812,23.742,27.694,31.2,26.844,34.904,32.02,21.114,14.746,12.92,20.488,19.48,54.28,53.14,12.158,6.196,10.784,7.26200000000001,16.16,33.41,8.75800000000001,9.21999999999999,NA,20.258,17.616,12.844,46.402,48.72,46.816,40.712,36.946,20.292,21.806,25.32,36.412,NA,13.742,NA,NA,NA,NA,5.904,NA,46.716,44.068,43.236,14.168,14.128,22.06,NA,NA,NA,NA,15.888,20.974,12.484,11.142,30.48,27.058,17.096,20.014,16.236,17.196,13.578,14.236,9.866,12.344,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.214,27.652,23.796,25.066,NA,NA,NA,NA,11.764,8.56200000000002,NA,NA,NA,77.114,NA,NA,NA,NA,13.302,11.768,16.63,16.568,10.626,NA,NA,NA,NA,21.432,20.576,10.836,15.124,32.794,28.006,21.862,19.782,25.372,15.574,14.576,NA,32.24,14.45,16.028,33.456,34.176,36.238,35.346
"1964",13.85,13.146,5.218,NA,19.174,NA,NA,5.508,NA,12.248,9.17999999999999,14.38,14.624,10.496,10.628,11.992,9.288,11.358,9.28199999999999,NA,NA,6.72200000000001,7.374,7.768,6.828,19.298,14.974,15.246,14.758,17.438,16.67,15.03,14.71,74.612,80.726,80.209,79.354,NA,15.264,16.698,12.348,9.228,7.736,23.976,17.546,15.606,16.982,39.7464,40.594,13.746,14.89,NA,NA,12.706,13.368,21.292,21.03,14.466,10.152,23.164,26.78,30.81,26.458,34.448,31.28,21.048,14.572,12.304,20.398,19.304,53.712,52.638,11.714,5.462,9.932,6.72600000000001,15.802,32.682,8.69800000000001,9.15799999999999,NA,19.66,16.258,11.732,45.754,47.87,46.098,40.42,36.658,20.098,21.656,24.784,35.946,NA,13.554,NA,NA,NA,NA,5.412,NA,45.724,43.754,42.544,13.622,13.686,NA,NA,NA,NA,NA,15.51,20.87,12.466,11.062,30.248,26.788,15.262,18.586,15.922,16.938,13.142,13.884,9.816,12.172,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.852,26.796,23.666,24.974,NA,NA,NA,NA,11.534,8.52200000000002,NA,NA,NA,76.532,NA,NA,NA,NA,12.996,11.248,16.064,16.048,9.96799999999999,NA,NA,NA,NA,21.13,20.48,10.578,14.926,32.574,27.676,21.39,19.492,25.158,14.586,13.474,NA,32.152,13.752,15.704,33.204,33.906,35.948,34.956
"1963",13.534,12.87,5.206,NA,18.698,NA,NA,5.472,NA,11.86,8.69999999999999,14.222,14.474,10.08,10.36,11.588,8.646,10.812,8.90199999999999,NA,NA,NA,6.84,7.68,6.72,19.064,14.76,14.982,14.436,16.822,16.618,14.648,14.264,74.282,80.459,79.99,79.133,NA,14.914,16.238,11.914,9.188,7.698,23.774,17.156,15.44,16.764,39.0568,40.0028,13.152,14.38,NA,NA,12.418,13.074,21.066,20.538,14.002,9.77800000000001,22.776,NA,30.56,26,33.98,30.662,20.992,14.338,12.154,20.342,19.27,53.166,52.216,11.114,5.264,9.358,6.21600000000001,15.274,31.844,8.65200000000001,9.09399999999999,NA,19.416,15.582,10.924,45.002,47.218,45.118,40.214,36.418,19.894,21.34,24.434,35.588,NA,13.216,NA,NA,NA,NA,NA,NA,44.856,43.516,41.554,13.182,13.42,NA,NA,NA,NA,NA,15.03,20.508,12.258,10.966,30.024,26.526,14.884,18.124,15.722,16.662,13.052,13.742,9.666,12.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.386,26.342,23.53,24.878,NA,NA,NA,NA,11.384,8.44600000000002,NA,NA,NA,76.232,NA,NA,NA,NA,12.784,10.964,15.55,15.586,9.06199999999999,NA,NA,NA,NA,20.944,20.326,10.272,14.622,32.258,27.284,20.932,18.916,24.794,14.208,13.122,NA,32.048,13.578,15.478,33.004,33.682,35.742,34.634
"1962",13.244,12.59,5.168,NA,18.12,NA,NA,5.46000000000001,NA,11.458,8.17799999999999,14.144,14.38,9.914,10.004,10.986,7.884,10.072,8.39799999999999,NA,NA,NA,6.448,7.542,6.622,18.876,14.602,14.838,14.26,16.568,16.474,14.16,13.812,73.969,80.222,79.786,78.882,NA,14.542,15.672,11.528,9.02,7.672,23.504,16.772,15.026,16.556,37.9142,39.114,12.678,13.836,NA,NA,12.174,12.74,20.738,19.948,13.49,9.15600000000001,22.492,NA,30.31,25.598,33.614,30.196,20.936,14.176,11.642,20.194,19.114,52.644,51.368,10.686,4.932,8.54799999999999,5.61400000000001,14.47,31.096,8.53600000000001,8.99599999999999,NA,19.298,14.874,10.146,44.4,46.372,44.206,40.018,36.15,19.66,20.962,24.284,35.304,NA,12.894,NA,NA,NA,NA,NA,NA,44.212,43.256,41.084,12.654,13.084,NA,NA,NA,NA,NA,14.558,20.216,11.97,10.858,29.824,26.316,14.54,17.828,15.458,16.348,12.992,13.684,9.608,12.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.976,25.954,23.426,24.818,NA,NA,NA,NA,11.178,8.34000000000002,NA,NA,NA,76.022,NA,NA,NA,NA,12.54,10.648,15.22,15.122,7.92599999999999,NA,NA,NA,NA,20.836,20.264,9.984,14.434,31.994,26.876,20.334,18.642,24.576,13.81,12.748,NA,31.966,13.386,15.162,32.746,33.444,35.48,34.334
"1961",13.062,12.434,5.136,NA,17.724,NA,NA,5.41600000000001,NA,11.12,7.73199999999999,14.082,14.318,9.754,9.54800000000001,10.424,7.326,9.26999999999999,7.90999999999999,NA,NA,NA,6.214,7.49,6.572,18.762,14.498,14.768,14.18,16.18,16.31,13.84,13.476,73.678,79.983,79.598,78.67,NA,14.188,15.206,11.356,8.968,7.646,23.35,16.546,14.752,16.392,36.6924,38.4196,12.344,13.366,NA,NA,12.106,12.418,20.394,19.426,12.938,8.50200000000001,22.152,NA,30.058,25.376,33.154,29.802,20.85,14.128,11.254,19.972,18.996,52.322,51.046,NA,4.702,7.93399999999999,5.24400000000001,14.008,30.574,8.46800000000001,8.89999999999999,NA,19.22,14.324,9.68400000000002,43.904,45.728,43.614,39.78,35.908,19.388,20.772,24.102,35.12,NA,12.646,NA,NA,NA,NA,NA,NA,43.626,42.822,40.296,12.496,12.946,NA,NA,NA,NA,NA,14.452,20.152,11.546,10.594,29.622,26.096,14.304,17.504,15.262,16.044,12.892,13.618,9.56,11.886,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.752,25.678,23.366,24.756,NA,NA,NA,NA,11.034,8.28200000000002,NA,NA,NA,75.796,NA,NA,NA,NA,12.334,10.356,15.004,14.948,7.29799999999999,NA,NA,NA,NA,20.742,20.176,9.802,14.33,31.824,26.65,19.91,18.526,24.514,13.51,12.562,NA,31.846,13.276,14.968,32.472,33.176,35.21,33.984
"1960",13.022,12.38,5.096,NA,17.66,NA,NA,5.40000000000001,NA,10.972,7.62399999999999,14.006,14.258,9.706,9.04400000000001,10.28,7.194,8.75399999999999,7.74999999999999,NA,NA,NA,6.13,7.458,6.562,18.674,14.402,14.716,14.13,16.08,16.198,13.762,13.404,73.325,79.659,79.314,78.341,NA,13.966,15.112,11.256,8.95,7.63,23.234,16.338,14.342,16.152,35.8436,37.8008,12.14,13.126,NA,NA,11.958,12.23,20.278,19.314,12.752,8.41200000000001,21.924,NA,29.974,25.246,32.696,29.234,20.764,14.098,11.212,19.688,18.93,51.792,50.608,NA,4.646,7.77999999999999,5.10000000000001,13.882,30.344,8.43400000000001,8.71999999999999,NA,19.164,14.12,9.54600000000002,43.112,44.892,42.766,39.422,35.632,19.142,20.542,23.894,34.86,NA,12.518,NA,NA,NA,NA,NA,NA,42.832,41.788,39.322,12.368,12.874,NA,NA,NA,NA,NA,14.438,20.136,11.5,10.488,29.366,25.808,14.258,17.426,15.148,15.882,12.786,13.586,9.466,11.764,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.64,25.548,23.302,24.712,NA,NA,NA,NA,10.984,8.16800000000002,NA,NA,NA,75.634,NA,NA,NA,NA,12.194,10.186,14.88,14.888,6.49399999999999,NA,NA,NA,NA,20.65,20.086,9.694,14.256,31.428,26.292,19.548,18.444,24.486,13.38,12.486,NA,31.724,13.2,14.914,32.208,32.926,34.862,33.562
"1959",12.952,12.166,5.04,NA,17.538,NA,NA,5.37000000000001,NA,10.77,7.46399999999999,13.94,14.18,9.586,8.51000000000001,10.146,7.084,8.51599999999999,7.62199999999999,NA,NA,NA,5.8,7.428,6.522,18.58,14.32,14.69,14.102,15.886,16.04,13.514,13.266,72.823,79.376,79.06,78.026,NA,13.892,14.96,11.08,8.916,7.456,22.926,16.048,13.992,15.916,34.8636,37.1358,11.892,12.942,NA,NA,11.828,12.07,20.146,19.184,12.538,8.23400000000001,21.62,NA,29.884,25.062,32.31,28.604,20.7,14.066,10.822,19.336,18.782,50.916,50.096,NA,4.582,7.60999999999999,4.97000000000001,13.678,30.114,8.38000000000001,8.62199999999999,NA,19.088,13.996,9.41600000000002,42.174,43.792,41.756,39.092,35.288,19.062,20.45,23.716,34.578,NA,12.328,NA,NA,NA,NA,NA,NA,42.066,40.134,38.19,12.25,12.8,NA,NA,NA,NA,NA,14.422,20.13,11.456,10.454,29.078,25.544,14.172,17.234,14.994,15.668,12.748,13.518,9.414,11.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.47,25.398,23.234,24.646,NA,NA,NA,NA,10.904,8.07000000000002,NA,NA,NA,75.574,NA,NA,NA,NA,11.938,9.926,14.712,14.77,6.08999999999999,NA,NA,NA,NA,20.564,20.004,9.588,13.966,31.07,25.958,18.942,18.378,24.44,13.258,12.34,NA,31.594,13.094,14.768,31.872,32.568,34.526,33.156
"1958",12.892,12.128,4.996,NA,17.47,NA,NA,5.35800000000001,NA,10.686,7.36799999999999,13.888,14.102,9.496,8.07400000000001,10.118,7.054,8.43599999999999,7.58199999999999,NA,NA,NA,5.648,7.396,6.476,18.51,14.236,14.674,14.058,15.6,15.908,13.386,13.196,72.31,79.067,78.795,77.617,NA,13.866,14.904,10.968,8.872,7.332,22.726,15.8,13.656,15.446,34.0842,36.312,11.69,12.69,NA,NA,11.766,12.02,20.04,19.102,12.468,NA,21.388,NA,29.828,24.94,31.978,28.074,20.666,14.048,10.786,19.006,18.7,50.318,49.686,NA,4.562,7.48,4.81800000000001,13.58,30.018,8.35400000000001,8.58799999999999,NA,19.03,13.952,9.30800000000002,41.478,42.938,40.664,38.808,34.922,18.838,20.334,23.532,34.458,NA,NA,NA,NA,NA,NA,NA,NA,41.17,38.984,36.794,12.168,12.746,NA,NA,NA,NA,NA,14.412,20.104,11.426,10.38,28.824,25.302,14.172,17.174,14.922,15.58,12.708,13.48,9.356,11.654,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.32,25.194,23.128,24.592,NA,NA,NA,NA,10.866,8.02000000000002,NA,NA,NA,75.528,NA,NA,NA,NA,11.786,9.782,14.696,14.68,5.92799999999999,NA,NA,NA,NA,20.458,19.932,9.504,13.608,30.832,25.676,18.522,18.32,24.404,13.232,12.31,NA,31.444,13.06,14.702,31.504,32.208,34.214,32.644
"1957",12.772,12.014,4.938,NA,17.326,NA,NA,5.33800000000001,NA,10.522,7.13999999999999,13.814,14.04,9.4,7.90200000000001,9.982,6.912,8.348,7.44399999999999,NA,NA,NA,5.51,7.384,6.438,18.446,14.152,14.64,14.036,15.432,15.8,13.27,13.052,71.714,78.701,78.471,77.234,NA,13.784,14.79,10.77,8.752,7.256,22.366,15.534,13.186,15.12,32.7902,35.1632,11.48,12.376,NA,NA,11.726,11.834,19.84,18.92,12.296,NA,21.022,NA,29.722,24.834,31.62,27.486,20.636,14.012,10.678,18.58,18.618,49.59,49.156,NA,4.462,7.28999999999999,4.64400000000001,13.46,29.912,8.27000000000001,8.53399999999999,NA,18.936,13.802,9.10000000000002,40.572,41.908,39.346,38.57,34.57,18.54,20.178,23.232,34.264,NA,NA,NA,NA,NA,NA,NA,NA,39.672,38.254,35.518,12.086,12.67,NA,NA,NA,NA,NA,14.406,20.068,11.354,10.248,28.536,25.066,14.042,16.938,14.75,15.384,12.668,13.454,9.286,11.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.124,24.91,23.076,24.55,NA,NA,NA,NA,10.816,7.95600000000002,NA,NA,NA,75.484,NA,NA,NA,NA,11.566,9.632,14.614,14.636,5.65199999999999,NA,NA,NA,NA,20.28,19.832,9.42,13.186,30.642,25.298,18.164,18.202,24.35,13.078,12.168,NA,NA,12.898,14.568,31.076,31.718,33.79,32.202
"1956",12.684,11.884,4.892,NA,17.048,NA,NA,5.31200000000001,NA,10.368,6.97799999999999,13.768,13.97,9.25,7.74400000000001,9.87,6.768,8.178,7.29399999999999,NA,NA,NA,5.396,7.368,6.418,18.386,14.09,14.606,13.998,15.246,15.708,13.23,12.874,71.121,78.358,78.128,76.906,NA,13.664,14.622,10.504,8.692,7.222,21.884,15.108,12.784,14.824,31.5752,34.159,11.23,12.09,NA,NA,11.622,11.632,19.648,18.768,12.158,NA,20.634,NA,29.568,24.728,31.148,26.856,20.592,13.972,10.64,18.23,18.548,48.84,48.5,NA,4.372,7.10399999999999,4.49000000000001,13.344,29.82,8.18600000000001,8.50199999999999,NA,18.794,13.632,8.97600000000002,39.688,40.67,38.1,38.296,34.254,18.194,19.986,22.958,34.022,NA,NA,NA,NA,NA,NA,NA,NA,38.544,37.722,34.198,12.052,12.568,NA,NA,NA,NA,NA,14.4,20.012,11.284,10.2,28.238,24.768,13.946,16.748,14.542,15.13,12.626,13.42,9.234,11.338,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.884,24.556,23.018,24.516,NA,NA,NA,NA,10.752,7.87200000000002,NA,NA,NA,75.454,NA,NA,NA,NA,11.38,9.478,14.534,14.55,5.42999999999999,NA,NA,NA,NA,20.012,19.706,9.35,13.024,30.534,25.064,17.918,18.13,24.282,12.984,12.082,NA,NA,12.764,14.46,30.736,31.312,33.314,31.74
"1955",12.604,11.794,4.806,NA,16.918,NA,NA,5.29600000000001,NA,10.268,6.83599999999999,13.704,13.92,9.166,7.544,9.806,6.646,8.108,7.20599999999999,NA,NA,NA,NA,7.348,6.386,18.302,14.02,14.574,13.954,15.096,15.578,13.208,12.814,70.583,77.981,77.832,76.624,NA,13.582,14.456,10.338,8.462,7.2,21.326,14.67,12.28,14.562,30.3506,33.4984,10.974,11.908,NA,NA,11.586,11.582,19.44,18.648,12.042,NA,20.264,NA,29.412,24.644,30.742,26.276,20.568,13.914,10.604,18.046,18.478,48.198,48.112,NA,NA,6.97799999999999,4.34400000000001,13.218,29.72,8.09400000000001,8.44599999999999,NA,18.692,13.454,8.83800000000002,39.066,39.85,37.164,37.888,33.804,17.876,19.71,22.662,33.832,NA,NA,NA,NA,NA,NA,NA,NA,38.018,37.34,33.312,11.978,12.486,NA,NA,NA,NA,NA,14.366,19.91,11.234,10.108,27.944,24.496,13.83,16.556,14.346,14.942,12.568,13.374,9.142,11.294,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.67,24.29,22.966,24.46,NA,NA,NA,NA,10.676,7.83800000000002,NA,NA,NA,75.404,NA,NA,NA,NA,11.194,9.318,14.46,14.5,5.16999999999999,NA,NA,NA,NA,19.81,19.574,9.28,12.926,30.416,24.842,17.672,18.052,24.2,12.918,12,NA,NA,12.654,14.382,30.388,30.902,32.966,31.306
"1954",12.458,11.688,4.788,NA,16.8,NA,NA,5.27000000000001,NA,10.112,6.62199999999999,13.654,13.858,9.094,7.466,9.618,6.406,7.992,7.04399999999999,NA,NA,NA,NA,7.292,6.312,18.238,13.98,14.526,13.916,15.008,15.494,13.176,12.712,70.07,77.612,77.543,76.341,NA,13.462,14.358,10.216,8.28,7.164,20.71,14.232,11.862,14.322,29.3566,32.7354,10.652,11.704,NA,NA,11.538,11.4,19.238,18.46,11.872,NA,19.948,NA,29.294,24.544,30.372,25.646,20.372,13.862,10.57,17.828,18.434,47.774,47.564,NA,NA,6.76999999999999,4.12600000000001,13.068,29.6,8.00600000000001,8.39199999999999,NA,18.57,13.24,8.68400000000002,38.588,39.222,36.586,37.496,33.402,17.408,19.594,22.492,33.656,NA,NA,NA,NA,NA,NA,NA,NA,37.656,37.046,32.504,11.86,12.352,NA,NA,NA,NA,NA,14.346,19.822,11.106,10.012,27.672,24.244,13.65,16.218,14.134,14.726,12.536,13.348,9.068,11.218,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.44,24.092,22.9,24.404,NA,NA,NA,NA,10.638,7.78200000000002,NA,NA,NA,75.374,NA,NA,NA,NA,11.012,9.176,14.39,14.418,5.00799999999999,NA,NA,NA,NA,19.594,19.404,9.2,12.834,30.282,24.668,17.518,17.988,24.14,12.852,11.89,NA,NA,12.47,14.178,30.062,30.526,32.498,30.934
"1953",12.356,11.554,4.702,NA,16.636,NA,NA,5.20800000000001,NA,10.018,6.49199999999999,13.58,13.796,8.99400000000001,7.336,9.484,6.26,7.866,6.91199999999999,NA,NA,NA,NA,7.26,6.29,18.166,13.92,14.472,13.88,14.928,15.456,13.152,12.678,69.552,77.237,77.244,75.982,NA,13.362,14.192,10.056,8.266,7.144,20.454,14.046,11.492,14.084,28.5204,32.159,10.462,11.488,NA,NA,11.402,11.272,19.008,18.25,11.726,NA,19.658,NA,29.234,24.488,29.84,25.09,20.322,13.794,10.514,17.736,18.354,47.398,47.092,NA,NA,6.63399999999999,4.01000000000001,12.924,29.476,7.85200000000001,8.34199999999999,NA,18.464,13.082,8.54600000000002,38.116,38.692,36.036,37.262,33.124,16.886,19.494,22.362,33.55,NA,NA,NA,NA,NA,NA,NA,NA,37.192,36.686,31.92,11.734,12.252,NA,NA,NA,NA,NA,14.322,19.676,11.004,9.95999999999999,27.456,23.968,13.536,15.992,13.978,14.574,12.452,13.29,8.966,11.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.288,23.962,22.816,24.338,NA,NA,NA,NA,10.616,7.72800000000002,NA,NA,NA,75.314,NA,NA,NA,NA,10.868,9.08,14.304,14.344,4.89799999999999,NA,NA,NA,NA,19.426,19.328,9.116,12.738,30.072,24.402,17.27,17.884,24.068,12.806,11.828,NA,NA,12.294,14.046,29.786,30.236,32.208,30.626
"1952",12.276,11.472,4.688,NA,16.512,NA,NA,5.18600000000001,NA,9.946,6.39599999999999,13.496,13.716,8.864,7.216,9.39,6.136,7.818,6.84599999999999,NA,NA,NA,NA,7.194,6.256,18.084,13.872,14.422,13.844,14.89,15.392,13.132,12.644,68.997,76.829,76.965,75.62,NA,13.26,14.106,9.89,8.066,7.122,20.162,13.804,11.018,13.866,27.5182,31.3056,10.216,11.228,NA,NA,11.358,11.23,18.836,18.09,11.68,NA,19.412,NA,29.202,24.448,29.474,24.53,20.2,13.62,10.466,17.576,18.25,46.962,46.744,NA,NA,6.52199999999999,3.97400000000001,12.834,29.388,7.70600000000001,8.30799999999999,NA,18.352,12.956,8.41800000000002,37.504,37.956,35.306,36.904,32.892,16.428,19.268,22.228,33.456,NA,NA,NA,NA,NA,NA,NA,NA,36.502,36.104,30.92,11.624,12.164,NA,NA,NA,NA,NA,14.306,19.56,10.952,9.92199999999999,27.202,23.682,13.464,15.77,13.882,14.472,12.404,13.198,8.828,11.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.232,23.822,22.764,24.256,NA,NA,NA,NA,10.582,7.64200000000002,NA,NA,NA,75.286,NA,NA,NA,NA,10.76,8.982,14.25,14.296,4.75599999999999,NA,NA,NA,NA,19.258,19.194,9.062,12.632,29.774,24.128,17.04,17.806,24.002,12.766,11.8,NA,NA,12.186,13.952,29.474,29.958,31.846,30.286
"1951",12.192,11.404,4.632,NA,16.464,NA,NA,5.09000000000001,NA,9.852,6.22799999999999,13.378,13.604,8.784,7.128,9.314,6.034,7.774,6.79999999999999,NA,NA,NA,NA,7.166,6.228,17.978,13.77,14.346,13.778,14.84,15.332,13.088,12.604,68.477,76.408,76.655,75.26,NA,13.196,14.018,9.766,7.928,7.1,19.872,13.62,10.616,13.514,NA,30.6928,9.99799999999999,11.144,NA,NA,11.22,11.13,18.676,17.946,11.628,NA,19.156,NA,29.134,24.344,28.966,23.894,19.97,13.578,10.43,17.464,18.052,46.374,46.296,NA,NA,6.36599999999999,3.87000000000001,12.734,29.288,7.44400000000001,8.23399999999999,NA,18.194,12.786,8.27400000000002,36.654,37.096,34.306,36.388,32.476,16.298,19.046,22.046,33.278,NA,NA,NA,NA,NA,NA,NA,NA,35.574,35.01,29.736,11.542,12.06,NA,NA,NA,NA,NA,14.258,19.38,10.876,9.83999999999999,26.856,23.314,13.36,15.598,13.768,14.378,12.378,13.088,8.782,10.922,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.15,23.708,22.654,24.158,NA,NA,NA,NA,10.514,7.59200000000002,NA,NA,NA,75.228,NA,NA,NA,NA,10.648,8.88,14.178,14.234,4.60599999999999,NA,NA,NA,NA,19.074,19.086,8.988,12.544,29.284,23.71,16.634,17.706,23.856,12.676,11.764,NA,NA,12.086,13.83,29.178,29.652,31.438,29.8
"1950",12.11,11.316,4.576,NA,16.418,NA,NA,5.03200000000001,NA,9.712,6.02399999999999,13.262,13.478,8.662,7.068,9.176,5.898,7.69,6.72399999999999,NA,NA,NA,NA,7.128,6.164,17.874,13.686,14.24,13.668,14.788,15.08,13.062,12.54,67.875,75.903,76.276,74.753,NA,13.128,13.924,9.608,7.872,7.048,19.526,13.32,10.086,13.106,NA,30.2866,9.75999999999999,10.956,NA,NA,11.194,11.06,18.484,17.776,11.588,NA,18.764,NA,29.014,24.226,28.368,23.23,19.81,13.512,10.406,17.368,17.898,45.46,45.554,NA,NA,6.13599999999999,3.67000000000001,12.49,29.094,7.22400000000001,8.14399999999999,NA,18.044,12.632,8.09200000000002,35.594,35.892,33.072,35.926,32.08,16.092,18.948,21.74,32.988,NA,NA,NA,NA,NA,NA,NA,NA,34.154,33.748,28.27,11.356,11.886,NA,NA,NA,NA,NA,14.134,19.236,10.754,9.80399999999999,26.562,22.946,13.252,15.386,13.614,14.19,12.22,12.986,8.61,10.822,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.02,23.556,22.554,24.074,NA,NA,NA,NA,10.478,7.49600000000002,NA,NA,NA,75.144,NA,NA,NA,NA,10.432,8.736,14.104,14.122,4.50999999999999,NA,NA,NA,NA,18.838,18.966,8.912,12.416,28.7,23.184,16.146,17.528,23.666,12.546,11.676,NA,NA,11.994,13.638,28.718,29.148,30.854,29.206
