"year" "month" "flds_mean" "flds_total" "fsds_mean" "fsds_total" "prec" "psrf" "rh" "temp" "wind" "temp_max" "temp_min"
2000 9 342.292971017027 246450.93913226 181.597382076353 130750.115094974 180.581728170788 98256.1882383979 77.6547778271443 290.882421447625 3.66468997436581 302.229993896484 278.523993896484
2000 10 322.473709034911 239920.439521974 135.324523965951 100681.445830668 124.450242288798 98529.5106944594 68.0535343145898 288.089356479723 3.54868573266121 298.589993896484 272.221993896484
2000 11 289.968017210367 208776.972391464 77.1513402171407 55548.9649563413 83.8010899653979 98127.0347552605 73.4906499194542 278.001144346075 4.01234391821983 295.809993896484 264.642993896484
2000 12 251.368399261082 187018.089050245 69.9658764480049 52054.6120773156 48.1 98534.923098763 84.2662223502397 267.120227353773 3.61369758064516 283.189993896484 254.779993896484
2001 1 269.467638103845 200483.92274926 81.8641236855629 60906.9080220588 27.9624420204024 98398.6286034723 84.173793780443 271.840336679573 3.88731732628689 283.000993896484 259.489993896484
2001 2 287.613763244266 193276.448900147 106.339535851029 71460.1680918912 55.3635273972603 98506.3870756114 78.7609431346338 274.99417441214 3.86048011469065 290.719993896484 258.449993896484
2001 3 279.912259802248 208254.721292873 160.108839291127 119120.976432598 18.8959701081629 98067.8587510053 66.7009579927359 277.061776023195 3.41057021618452 287.919993896484 264.532993896484
2001 4 331.365706944444 238583.309 220.360647222222 158659.666 61.4 98287.6023381026 60.6732027777778 288.982545285373 4.49706259215011 301.599993896484 271.313993896484
2001 5 353.697016605228 263150.580354289 231.445096945049 172195.152127116 131.362547575819 98839.2826121882 73.4423449827054 291.562187137636 3.35564087245949 303.519993896484 278.725993896484
2001 6 373.736417743478 269090.220775304 250.93582431748 180673.793508585 97.5580955593253 98962.2722906813 80.2431634116985 294.903677963747 2.9430519471793 304.349993896484 283.013993896484
2001 7 391.001478494624 290905.1 257.087298920566 191272.950396901 154.8 98909.5456767257 81.3558239247312 297.439632337344 2.65467004712852 304.839993896484 283.979993896484
2001 8 389.582014972982 289849.019139898 237.984498614741 177060.466969367 61.3756808051706 98958.8032296218 83.1022973657045 297.239099135042 2.70790821479668 304.669993896484 286.482057087855
2001 9 347.095765641355 249908.951261776 207.966156328696 149735.632556661 79.116617986891 98971.9732192215 78.6168422166916 291.778733083227 3.05154273147285 302.332139695405 278.241993896484
2001 10 321.703232526882 239347.205 132.23372983871 98381.895 207.3 98995.842422235 71.6899637096774 286.609699541645 4.16483112923147 298.699993896484 274.261993896484
2001 11 303.774872222222 218717.908 100.754665277778 72543.359 90.4 98570.5031046917 68.2641875 284.761548063151 4.03565539433137 295.309993896484 271.788993896484
2001 12 285.742759851869 212592.613329791 76.1009185088968 56619.0833706192 93.1638888888889 98215.1533443111 82.2350398044773 276.847894963447 3.6686648705397 294.499993896484 259.589993896484
2002 1 274.19192316098 203998.790831769 84.9575669246606 63208.4297919475 35.9909420289855 98127.5264301886 76.7218787435904 275.592428363874 4.1818859819068 291.519993896484 261.879993896484
2002 2 270.202831845238 181576.303 129.946171130952 87323.827 67.5 98434.0864448596 69.9120282738095 275.611108479817 4.17091083765013 288.799993896484 263.029993896484
2002 3 296.907870967742 220899.456 136.60822311828 101636.518 122.057986111111 98019.4007173994 73.9541048387097 278.067106540221 4.05381242830569 294.659993896484 257.459993896484
2002 4 331.202847222222 238466.05 196.273441666667 141316.878 162.463683886277 98322.2695005617 72.6187486111111 286.614878814748 3.86977841410277 302.489993896484 271.114993896484
