"Species","Site","PlotID","TreeID","DBH..cm.","Year","RW","Species.Model","RW.modeled"
"PIEN","Valles Caldera Upper","VUA","VUF030",21.6,1911,NA,"PIEN",0.0842947351376072
"PIEN","Valles Caldera Upper","VUA","VUF034",17.3,1911,NA,"PIEN",0.0733008772280895
"PIEN","Valles Caldera Upper","VUA","VUF038",34.5,1911,NA,"PIEN",0.12819594417801
"PIEN","Valles Caldera Upper","VUA","VUF039",44.3,1911,NA,"PIEN",0.176276306772523
"PIEN","Valles Caldera Upper","VUA","VUF041",27,1911,NA,"PIEN",0.100465605154011
"PIEN","Valles Caldera Upper","VUA","VUF042",40.2,1911,NA,"PIEN",0.154285642966825
"PIEN","Valles Caldera Upper","VUA","VUF043",21.6,1911,NA,"PIEN",0.0842947351376072
"POTR","Valles Caldera Upper","VUB","VUF121",19.8,1911,NA,"POGR",0.182525985949742
"PIEN","Valles Caldera Upper","VUB","VUF127",35.6,1911,NA,"PIEN",0.305021087544985
"POGR","Morgan Monroe State Park","MMC","MMC004",41.1,1912,NA,"POGR",0.119248926367146
"POGR","Morgan Monroe State Park","MMC","MMC009",33.2,1912,NA,"POGR",0.0922469246731756
"ACSA","Morgan Monroe State Park","MMC","MMC028",33.2,1912,NA,"ACSA",0.0922469246731756
"QUAL","Oak Openings Toledo","OOA","OOA013",10.6,1912,NA,"QUAL",0.360263059119876
"QURU","Oak Openings Toledo","OOA","OOA016",28.7,1912,NA,"QURU",0.648765387123434
"PRSE","Oak Openings Toledo","OOA","OOA022",12.5,1912,NA,"PRSE",0.383209978192598
"QURU","Oak Openings Toledo","OOA","OOA023",41.05,1912,NA,"QURU",0.969167112325493
"QUVE","Oak Openings Toledo","OOA","OOA030",32.3,1912,NA,"QUVE",0.729287843133292
"PRSE","Oak Openings Toledo","OOA","OOA032",22.9,1912,NA,"PRSE",0.537310115697041
"PRSE","Oak Openings Toledo","OOB","OOB005",20.05,1912,NA,"PRSE",0.55612898007638
"QUVE","Oak Openings Toledo","OOB","OOB032",25.9,1912,NA,"QUVE",0.672579914857082
"QUAL","Oak Openings Toledo","OOB","OOB033",12.5,1912,NA,"QUAL",0.435123895192756
"QUAL","Oak Openings Toledo","OOB","OOB051",20.7,1912,NA,"QUAL",0.568001901897269
"PIEN","Valles Caldera Upper","VUA","VUF025",25.2,1912,NA,"PIEN",0.0973995801638172
"PIEN","Valles Caldera Upper","VUA","VUF027",25.3,1912,NA,"PIEN",0.0977166365509937
"PIEN","Valles Caldera Upper","VUA","VUF029",19.7,1912,NA,"PIEN",0.0814570552064917
"PIEN","Valles Caldera Upper","VUA","VUF030",21.6,1912,NA,"PIEN",0.0866454540900522
"PIEN","Valles Caldera Upper","VUA","VUF031",13,1912,NA,"PIEN",0.0655183913020083
"PIEN","Valles Caldera Upper","VUA","VUF034",17.3,1912,NA,"PIEN",0.0753450115509463
"PIEN","Valles Caldera Upper","VUA","VUF038",34.5,1912,NA,"PIEN",0.131770931810558
"PIEN","Valles Caldera Upper","VUA","VUF039",44.3,1912,NA,"PIEN",0.181192106727534
"PIEN","Valles Caldera Upper","VUA","VUF041",27,1912,NA,"PIEN",0.103267279561302
"PIEN","Valles Caldera Upper","VUA","VUF042",40.2,1912,NA,"PIEN",0.158588191452447
"PIEN","Valles Caldera Upper","VUA","VUF043",21.6,1912,NA,"PIEN",0.0866454540900522
"POTR","Valles Caldera Upper","VUB","VUF121",19.8,1912,NA,"POGR",0.181648722737419
"PIEN","Valles Caldera Upper","VUB","VUF127",35.6,1912,NA,"PIEN",0.303555083799307
"POGR","Morgan Monroe State Park","MMC","MMC004",41.1,1913,NA,"POGR",0.120307789594659
"POGR","Morgan Monroe State Park","MMC","MMC009",33.2,1913,NA,"POGR",0.0930660253507521
"ACSA","Morgan Monroe State Park","MMC","MMC028",33.2,1913,NA,"ACSA",0.0930660253507521
"QUAL","Oak Openings Toledo","OOA","OOA013",10.6,1913,NA,"QUAL",0.346113106717024
"QURU","Oak Openings Toledo","OOA","OOA016",28.7,1913,NA,"QURU",0.623284008680578
"PRSE","Oak Openings Toledo","OOA","OOA022",12.5,1913,NA,"PRSE",0.368158746004179
"QURU","Oak Openings Toledo","OOA","OOA023",41.05,1913,NA,"QURU",0.931101404052993
"QUVE","Oak Openings Toledo","OOA","OOA030",32.3,1913,NA,"QUVE",0.70064380648539
"PRSE","Oak Openings Toledo","OOA","OOA032",22.9,1913,NA,"PRSE",0.516206335083902
"PRSE","Oak Openings Toledo","OOB","OOB005",20.05,1913,NA,"PRSE",0.533090305774303
"QUVE","Oak Openings Toledo","OOB","OOB032",25.9,1913,NA,"QUVE",0.644717044631576
"QUAL","Oak Openings Toledo","OOB","OOB033",12.5,1913,NA,"QUAL",0.417098080927475
"QUAL","Oak Openings Toledo","OOB","OOB051",20.7,1913,NA,"QUAL",0.544471369791256
"PIEN","Valles Caldera Upper","VUA","VUF014",10.3,1913,NA,"PIEN",0.0616743300390504
"PIEN","Valles Caldera Upper","VUA","VUF025",25.2,1913,NA,"PIEN",0.100093707736555
"PIEN","Valles Caldera Upper","VUA","VUF027",25.3,1913,NA,"PIEN",0.100419534083041
"PIEN","Valles Caldera Upper","VUA","VUF028",11.1,1913,NA,"PIEN",0.0632988530890647
"PIEN","Valles Caldera Upper","VUA","VUF029",19.7,1913,NA,"PIEN",0.0837102035060711
"PIEN","Valles Caldera Upper","VUA","VUF030",21.6,1913,NA,"PIEN",0.0890421164424339
"PIEN","Valles Caldera Upper","VUA","VUF031",13,1913,NA,"PIEN",0.0673306671273382
"PIEN","Valles Caldera Upper","VUA","VUF033",10.5,1913,NA,"PIEN",0.0620765097371578
"PIEN","Valles Caldera Upper","VUA","VUF034",17.3,1913,NA,"PIEN",0.0774290972600043
"PIEN","Valles Caldera Upper","VUA","VUF035",7.7,1913,NA,"PIEN",0.0566770697126511
"PIEN","Valles Caldera Upper","VUA","VUF038",34.5,1913,NA,"PIEN",0.135415790444231
"PIEN","Valles Caldera Upper","VUA","VUF039",44.3,1913,NA,"PIEN",0.186203983060842
"PIEN","Valles Caldera Upper","VUA","VUF041",27,1913,NA,"PIEN",0.106123711023941
"PIEN","Valles Caldera Upper","VUA","VUF042",40.2,1913,NA,"PIEN",0.162974830682145
