"PlotID","Site","Plot","Year","Release.Minor","Release.Major","n.Minor","n.Major","n.Plot","p.Minor","p.Major"
"VLF0","VLF","A",1947,NA,NA,0,0,20,0,0
"VLF1","VLF","B",1947,NA,NA,0,0,23,0,0
"VUF0","VUF","A",1947,NA,NA,0,0,28,0,0
"VUF1","VUF","B",1947,NA,NA,0,0,32,0,0
"VLF0","VLF","A",1948,NA,NA,0,0,23,0,0
"VLF1","VLF","B",1948,NA,NA,0,0,25,0,0
"VUF0","VUF","A",1948,NA,NA,0,0,28,0,0
"VUF1","VUF","B",1948,NA,NA,0,0,32,0,0
"VLF0","VLF","A",1949,NA,NA,0,0,25,0,0
"VLF1","VLF","B",1949,1.67780088380556,NA,1,0,28,0.0357142857142857,0
"VUF0","VUF","A",1949,NA,NA,0,0,29,0,0
"VUF1","VUF","B",1949,NA,NA,0,0,32,0,0
"VLF0","VLF","A",1950,NA,NA,0,0,29,0,0
"VLF1","VLF","B",1950,1.63643235071806,NA,1,0,31,0.032258064516129,0
"VUF0","VUF","A",1950,NA,NA,0,0,30,0,0
"VUF1","VUF","B",1950,NA,NA,0,0,33,0,0
"VLF0","VLF","A",1951,NA,NA,0,0,33,0,0
"VLF1","VLF","B",1951,1.6124114603649,NA,2,0,32,0.0625,0
"VUF0","VUF","A",1951,NA,NA,0,0,32,0,0
"VUF1","VUF","B",1951,NA,NA,0,0,33,0,0
"VLF0","VLF","A",1952,NA,NA,0,0,33,0,0
"VLF1","VLF","B",1952,1.62041859511761,NA,3,0,36,0.0833333333333333,0
"VUF0","VUF","A",1952,NA,NA,0,0,32,0,0
"VUF1","VUF","B",1952,NA,NA,0,0,33,0,0
"VLF0","VLF","A",1953,NA,NA,0,0,35,0,0
"VLF1","VLF","B",1953,1.52361410897475,NA,2,0,37,0.0540540540540541,0
"VUF0","VUF","A",1953,NA,NA,0,0,32,0,0
"VUF1","VUF","B",1953,NA,NA,0,0,33,0,0
"VLF0","VLF","A",1954,NA,NA,0,0,36,0,0
"VLF1","VLF","B",1954,NA,NA,0,0,37,0,0
"VUF0","VUF","A",1954,NA,NA,0,0,33,0,0
"VUF1","VUF","B",1954,NA,NA,0,0,33,0,0
"VLF0","VLF","A",1955,NA,NA,0,0,36,0,0
"VLF1","VLF","B",1955,NA,NA,0,0,39,0,0
"VUF0","VUF","A",1955,NA,NA,0,0,33,0,0
"VUF1","VUF","B",1955,NA,NA,0,0,33,0,0
