"","VUA","VUB","VLA","VLB","VUA.LB","VUB.LB","VLA.LB","VLB.LB","VUA.UB","VUB.UB","VLA.UB","VLB.UB"
"2001",21.29323002928,25.5768886213789,73.4580291919642,20.057573972816,19.900425971418,23.903887662372,68.6530916131929,18.7455949831658,24.6058505056937,29.5559244395064,84.886007536428,23.177961540046
"2000",21.1384486416673,25.2774172551012,73.1909249565692,19.9686548965592,19.6112433765053,23.4511808374678,67.9030456116577,18.5259645925927,24.7007849998288,29.537269245884,85.5253539149138,23.3338529093109
"1999",21.1351587209646,25.2296508400012,73.2071559503645,19.9179347294195,19.4625893003717,23.2330563008098,67.4137738410692,18.341692554491,24.9585595368612,29.7937550835507,86.4505057394746,23.5211368108829
"1998",20.856790167901,24.6610410374338,71.8135148715028,19.6186130393417,19.0607311565576,22.5373832440807,65.6293748632424,17.9291782578767,24.8761540759293,29.4135315924193,85.6528759361502,23.3993647533451
"1997",20.6412492889829,24.2329978159701,70.8810634735056,19.4173171488736,18.7185991937502,21.9757906621611,64.2787749429239,17.6086714538976,24.8512202349957,29.1755386143354,85.337902479138,23.3776559782635
"1996",20.4133850793102,23.8116697344627,69.7429740081542,19.1423210070129,18.3667341103791,21.4243059168223,62.750526416765,17.2231072321109,24.7953864740064,28.9231575930941,84.7142199914452,23.2514717933502
"1995",20.3351928443091,23.6360728401135,69.4581629021117,19.054708331572,18.1503836150927,21.0966176955825,61.995591166756,17.0074741134566,24.9053172042618,28.9480358535573,85.0681669333908,23.3370570353503
"1994",19.9970126331923,23.054936244949,67.6846738845042,18.6720940581253,17.7035945691045,20.4108109338116,59.9220517070819,16.5306283005766,24.6826543292094,28.4571016858528,83.5443493246314,23.0472846966251
"1993",19.8096811070429,22.6766473834086,66.7004500566596,18.4455116665601,17.3925825164163,19.9097329573563,58.5619261220774,16.1948636116161,24.6285837856095,28.192968228067,82.9260003672781,22.9325665109673
"1992",19.5377465386979,22.1945206170409,65.7202428556038,18.2135129649959,17.0091945695438,19.3221320997932,57.2148070236524,15.8563417333169,24.4534389683255,27.7786567793311,82.2554404864413,22.7960285392266
"1991",19.2441648993928,21.6696107035457,64.6240377641125,17.9514169260271,16.6094260255459,18.7028014914941,55.776292726996,15.4936695380317,24.2358887439601,27.2904684033669,81.3867994597119,22.6078162232627
"1990",18.926095509404,21.1564549459836,63.6340630034183,17.68679980666,16.1914732799395,18.0995691787526,54.4396085448202,15.1312428036136,23.9697175080143,26.7944462329425,80.5919273376402,22.4001614477636
"1989",18.7497530403196,20.7808301767565,62.9669901465207,17.4911355284333,15.8968925187043,17.6189319965418,53.386275138293,14.8297794071028,23.8669679301856,26.4523701365415,80.1520495366324,22.2648463594128
"1988",18.5902041445014,20.4701216307314,62.7091782633838,17.3164750531625,15.617873911094,17.1972172058197,52.6828017365007,14.5477974239938,23.7703595845993,26.1741155783321,80.1830741065993,22.1417062207552
"1987",18.1787040529507,19.670424787447,61.4361025196453,16.9179064764918,15.130221616449,16.3717878599524,51.1335595576869,14.080853812796,23.340171476699,25.255435493159,78.8796144924221,21.7213964778739
"1986",17.9409508286505,19.303769928063,60.2562286417159,16.5746767320238,14.7907614882087,15.9142879079342,49.6760464108372,13.6643867222486,23.1157500291824,24.8716539351619,77.6362374706946,21.3553945836653
"1985",17.6771265170304,18.8982155054253,58.5734876922856,16.1013660226143,14.4321494887646,15.4290840755381,47.8211959188597,13.1456501817651,22.844781561888,24.4228384469046,75.6966088554643,20.8083700300644
"1984",17.2892899766071,18.3082648249679,56.979283710224,15.6520106217122,13.9761162005203,14.7998232992714,46.0602541361726,12.6525912583344,22.4004740147183,23.7206855238805,73.8239086657171,20.2791703814412
"1983",16.9612521271457,17.8092189192593,56.0630896056115,15.3416220623086,13.5726828093687,14.2512402776475,44.8626390803041,12.2766272485078,22.0203742074056,23.1212685245127,72.7853228691216,19.9176485455308
"1982",16.4831040181138,17.1377428246454,54.5408883705518,14.9053605550397,13.0541917667895,13.5726487582065,43.1949719626726,11.8046597791776,21.4321047922042,22.2832968666587,70.9166206639845,19.3806487558496
"1981",15.9154998767083,16.3751496706283,53.3388993717572,14.5254408013289,12.4722678417873,12.832474897023,41.7993179293273,11.3829405043902,20.7144268892757,21.3126727580568,69.4219308190032,18.9052297348174
"1980",15.4412555307818,15.725805070374,52.4025437731452,14.2033031642591,11.9707393309443,12.1913346289373,40.624752989562,11.0110242964882,20.1063719729588,20.4768896990835,68.2344149626779,18.4944090910227
"1979",15.0295733466707,15.2693070134968,51.2716108479609,13.8848570766869,11.5239693914361,11.7077858827547,39.3126578135637,10.6462548380755,19.5690804641739,19.8812228855108,66.7576021666517,18.0786160125715
