"Species","Site","PlotID","TreeID","DBH..cm.","Year","RW","RW.modeled"
"PIEN","Valles Caldera Upper","VUA","VUF033",10.5,1912,NA,0.0570042401997972
"PIEN","Valles Caldera Upper","VUA","VUF034",17.3,1912,NA,0.0703887649466843
"PIEN","Valles Caldera Upper","VUA","VUF035",7.7,1912,NA,0.052262608933869
"PIEN","Valles Caldera Upper","VUA","VUF038",34.5,1912,NA,0.120001813593081
"PIEN","Valles Caldera Upper","VUA","VUF039",44.3,1912,NA,0.162627533123886
"PIEN","Valles Caldera Upper","VUA","VUF041",27,1912,NA,0.0950960782474883
"PIEN","Valles Caldera Upper","VUA","VUF042",40.2,1912,NA,0.143207895800387
"PIEN","Valles Caldera Upper","VUA","VUF043",21.6,1912,NA,0.0804311838797623
"PIEN","Valles Caldera Upper","VUB","VUF103",9.1,1912,NA,0.119545138772502
"PIEN","Valles Caldera Upper","VUB","VUF113",11,1912,NA,0.126801669561833
"POTR","Valles Caldera Upper","VUB","VUF121",19.8,1912,NA,0.166594711021068
"PIEN","Valles Caldera Upper","VUB","VUF123",8.1,1912,NA,0.115894251111496
"PIEN","Valles Caldera Upper","VUB","VUF126",10.1,1912,NA,0.123311036285899
"PIEN","Valles Caldera Upper","VUB","VUF127",35.6,1912,NA,0.27194910647701
"PSME","Valles Caldera Upper","VUB","VUF141",12.8,1912,NA,0.134082167042541
"POGR","Morgan Monroe State Park","MMC","MMC004",41.1,1913,NA,0.100845472164484
"POGR","Morgan Monroe State Park","MMC","MMC009",33.2,1913,NA,0.0789301976522606
"ACSA","Morgan Monroe State Park","MMC","MMC028",33.2,1913,NA,0.0789301976522606
"PIEN","Valles Caldera Upper","VUA","VUF014",10.3,1913,NA,0.058175181351425
"PIEN","Valles Caldera Upper","VUA","VUF025",25.2,1913,NA,0.0923509034109509
"PIEN","Valles Caldera Upper","VUA","VUF027",25.3,1913,NA,0.0926377825566127
"PIEN","Valles Caldera Upper","VUA","VUF028",11.1,1913,NA,0.0596367224750627
"PIEN","Valles Caldera Upper","VUA","VUF029",19.7,1913,NA,0.0778674584286395
"PIEN","Valles Caldera Upper","VUA","VUF030",21.6,1913,NA,0.0825941049102637
"PIEN","Valles Caldera Upper","VUA","VUF031",13,1913,NA,0.0632567418021437
"PIEN","Valles Caldera Upper","VUA","VUF033",10.5,1913,NA,0.0585371738706507
"PIEN","Valles Caldera Upper","VUA","VUF034",17.3,1913,NA,0.0722816295381317
"PIEN","Valles Caldera Upper","VUA","VUF035",7.7,1913,NA,0.053668032682709
"PIEN","Valles Caldera Upper","VUA","VUF038",34.5,1913,NA,0.123228851090214
"PIEN","Valles Caldera Upper","VUA","VUF039",44.3,1913,NA,0.167000843257653
"PIEN","Valles Caldera Upper","VUA","VUF041",27,1913,NA,0.0976533613513548
"PIEN","Valles Caldera Upper","VUA","VUF042",40.2,1913,NA,0.147058981344815
"PIEN","Valles Caldera Upper","VUA","VUF043",21.6,1913,NA,0.0825941049102637
"PIEN","Valles Caldera Upper","VUB","VUF103",9.1,1913,NA,0.118922838445637
"PIEN","Valles Caldera Upper","VUB","VUF113",11,1913,NA,0.12614159487184
"POTR","Valles Caldera Upper","VUB","VUF121",19.8,1913,NA,0.165727490955184
