"","ACSA","NYSY","ASTR","FAGR","FRAX","LITU","POGR","QUAL","QURU","SAAL","TIAM","ULRU"
"2002",0.162778695451656,0.00217802873700451,0.00489273449024251,0.0621339726892876,0.0557744690147211,0.136530386710056,0.000989259323824224,0.091064390457035,0.146795055486002,0.00971993085481304,0.00142202521676559,0.00848881558306641
"2001",0.1716628630416,0.00471072794055821,0.00500604372366981,0.070970878437175,0.0576322378795253,0.164337174055276,0.00148591020629217,0.121829629071835,0.159503452960045,0.0100554852441152,0.00201602161731296,0.0122294477658504
"2000",0.156868947323915,0.00411434775572009,0.00668120040205235,0.0666980605769787,0.0517375635118393,0.11091185864117,0.00132394935260025,0.0935572868063463,0.128422437579103,0.0104532213953795,0.00227803777995919,0.00954327952077261
"1999",0.158150555030068,0.00252604492092523,0.00707048131286246,0.0667117826069994,0.0464514472441488,0.138112894173114,0.00242875136095584,0.085991185077841,0.133063873923476,0.00817535183494175,0.00230268327631585,0.00787346849707937
"1998",0.164939238213773,0.00407208820358299,0.00847915835109225,0.0741991664118484,0.0575770051813149,0.139370157152993,0.0015539435530877,0.0914632964229165,0.187871942668887,0.00777953065084991,0.00221488107118041,0.00671947130198131
"1997",0.154206497760959,0.00675127455707783,0.00743452635335878,0.0682829576283162,0.0417171425000016,0.0784271578195739,0.00259677946505028,0.0748268285400568,0.11052681723525,0.00666708560706775,0.00140189586171491,0.00484351009013595
"1996",0.125533108824083,0.00453571245553733,0.00593977908324766,0.0602314010863079,0.0497575529939367,0.0865704856728238,0.0017902019892682,0.0699569018993893,0.117562483287988,0.00575319003469235,0.00152722550032905,0.00418331381085729
"1995",0.184747587924408,0.00638419123863437,0.00810100640980975,0.0856476946790288,0.046660365463397,0.114554919022417,0.00320289666770651,0.0900549656541454,0.130480758035238,0.00600139402081099,0.00155148859540483,0.00652810466699988
"1994",0.148973862273644,0.00455241772851686,0.00587801989436333,0.0601570180239315,0.0461693070365308,0.0698869629946168,0.00160431478976424,0.0839447308552286,0.112601575127121,0.0050613537493705,0.00096237748701751,0.00974465638809319
"1993",0.20424109289736,0.00429255226153064,0.00565701343143817,0.0841986229485272,0.0662324121292088,0.214867447623245,0.00346227185084282,0.108116755225868,0.128317511914721,0.00638319382270233,0.00179344892711192,0.0172852208060224
"1992",0.235448637595271,0.00481803315328497,0.00491038384578388,0.096047772452011,0.0570413931999707,0.169934979942877,0.00375381046002406,0.0971380209068364,0.135861708070183,0.00546858416239765,0.00204577182847722,0.0167362823693558
"1991",0.132055785432669,0.00334805425072388,0.0045037472138481,0.0599457541260648,0.038499332782719,0.122146012713189,0.00322476845253805,0.0673777237358606,0.082121132693354,0.00412320153939083,0.00102200932291796,0.00924218829558238
"1990",0.143839997623984,0.00335688633852493,0.00641945448522604,0.0639659354400284,0.0384303851897099,0.170616309280415,0.00330247115121785,0.0662159744600945,0.0664416593921917,0.0056291084395135,0.00155995448484811,0.00901073292691421
"1989",0.129388435999334,0.00427624210220243,0.00649863407705287,0.0448369627269389,0.033108178345947,0.0776050431191737,0.00271681050714674,0.0855239783787076,0.0724254481897866,0.00596041594307281,0.00108288464137475,0.0092919205698016
"1988",0.0937753975650195,0.00437496646369977,0.00615726402563734,0.0305420095777429,0.0331522683580698,0.0484823904140788,0.00179136882290593,0.076306622481801,0.0567996099711054,0.0051941218641948,0.000720424953160603,0.00477719595444634
