Site,Transect,Plot_Distance,Plot_Name,Plot_Radius,Tree_Tag_Number,Distance_From_Center,Bearing_From_Center,Species,Year,Start_Date,End_Date,Status,Multiple_Stems,Height,DBH_1,Percent_Dead,Decay_Class,Notes
MCON,Right,35,3,10,887,6.8,45,POTR,2012,20-Jul-12,23-Jul-12,1,No,19.96666667,41.5,5,,angled (height may be wrong)
MCON,Right,35,3,10,888,8.2,45,PIEN,2012,20-Jul-12,23-Jul-12,2,No,8.7,15.1,100,,
MCON,Right,35,3,10,889,6.9,45,POTR,2012,20-Jul-12,23-Jul-12,2,No,17.4,39.4,100,,
MCON,Right,35,3,10,890,7,45,PIEN,2012,20-Jul-12,23-Jul-12,1,No,16.4,36.7,30,,
MCON,Right,35,3,10,891,2.2,45,POTR,2012,20-Jul-12,23-Jul-12,2,No,,34.5,100,8,falling over - no height
MCON,Right,35,3,10,892,3.2,90,PIEN,2012,20-Jul-12,23-Jul-12,1,No,14.03333333,26.9,80,,below dbh
MCON,Right,35,3,10,893,4,90,PIEN,2012,20-Jul-12,23-Jul-12,2,No,10.56666667,13.3,100,,
MCON,Right,35,3,10,894,6.7,90,PIEN,2012,20-Jul-12,23-Jul-12,1,No,14.5,34.5,15,,
MCON,Right,35,3,10,895,9.8,90,ABLA,2012,20-Jul-12,23-Jul-12,2,No,6,13.5,100,,
MCON,Right,35,3,10,896,1.6,90,POTR,2012,20-Jul-12,23-Jul-12,1,No,19.2,25.8,5,,
MCON,Right,35,3,10,897,5,90,PIEN,2012,20-Jul-12,23-Jul-12,1,No,10.5,21.2,80,,
MCON,Right,35,3,10,898,6.4,135,PIEN,2012,20-Jul-12,23-Jul-12,2,No,10.4,21.2,100,,
MCON,Right,35,3,10,899,5.5,135,PIEN,2012,20-Jul-12,23-Jul-12,1,No,,41.7,90,2,"fallen, dying"
MCON,Right,35,3,10,900,6.5,135,PIEN,2012,20-Jul-12,23-Jul-12,2,No,,,100,8,"fallen on ground, no tag, dead"
MCON,Left,35,4,10,901,4.9,180,PIEN,2012,20-Jul-12,23-Jul-12,1,No,17.16666667,32.6,25,,
MCON,Left,35,4,10,902,5,180,PIEN,2012,20-Jul-12,23-Jul-12,2,No,,8.2,100,8,fallen
MCON,Left,35,4,10,903,5.3,180,PIEN,2012,20-Jul-12,23-Jul-12,2,No,6,12.8,100,,same basal stem as 904
MCON,Left,35,4,10,904,5.2,180,PIEN,2012,20-Jul-12,23-Jul-12,2,No,11.3,20.7,100,,same basal stem as 903
